Endpoint,group,country,vs_type,N,R,HR,LCL,UCL
Non Cerebral Haemorrhage (all others),non_cereb_haem,Scotland,PB_v1_21:27,58,5,1.3231266813574407,0.4341459052382359,4.032432861388579
Non Cerebral Haemorrhage (all others),non_cereb_haem,Scotland,PB_v1_28+,246,24,1.2693306369718889,0.7035291977284525,2.290168298853391
Non Cerebral Haemorrhage (all others),non_cereb_haem,Scotland,PB_v2,97,8,0.7313652851382281,0.290301136278719,1.8425528303539507
Non Cerebral Haemorrhage (all others),non_cereb_haem,Scotland,AZ_v1_0:27,535,62,1.8428351753602856,1.1819796500445268,2.873181009010808
Non Cerebral Haemorrhage (all others),non_cereb_haem,Scotland,PB_v1_0:27,241,23,1.2131400327505453,0.6842702463723848,2.15077120021536
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,uv,2903,254,1,1,1
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v1_0:6,144,20,2.0860959512395443,1.0999307285027746,3.956427623130125
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v1_7:13,162,15,1.5219812365874876,0.7405866339770891,3.1278270201620186
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v1_14:20,131,16,1.7420608084027498,0.8678251406455004,3.4969900248747505
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v1_21:27,120,14,1.930860857718082,0.9049320172345977,4.119893628320247
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v1_28+,437,51,1.608344210728067,0.8965450705500217,2.8852661011180736
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v2,48,4,1.1193025925584188,0.24476486656485877,5.118538094502283
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v1_0:6,48,4,0.7308515679291149,0.22412087461078725,2.3832854269913533
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v1_7:13,64,8,1.5088676177916538,0.5305688712209001,4.29101971772553
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v1_14:20,53,0,5.3296518850418375e-8,0,Inf
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v1_21:27,58,3,0.49196128306756515,0.12650964272628779,1.9131024230392029
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v1_28+,291,26,1.0051581490595791,0.549034076911021,1.8402189355991831
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v2,99,5,0.46666645005983565,0.17083132639222165,1.2748105409627317
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,AZ_v1_0:27,557,65,1.8584521095740463,1.1797018661100287,2.9277263542601615
Thrombocytopenia - ITP - General and Specific,any_itp,Scotland,PB_v1_0:27,223,15,0.6022972433925198,0.3081757123594845,1.1771270572259418
Thrombocytopenia - ITP - General,itp_gen,Scotland,uv,2343,207,1,1,1
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v1_0:6,101,18,2.8049552653282763,1.3867807731742916,5.673408654551626
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v1_7:13,127,8,0.6921986128736813,0.2870282949640276,1.669309012633398
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v1_14:20,95,10,1.197368956851945,0.49473070149376036,2.897924900362783
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v1_21:27,91,10,1.261689521184167,0.506672700439266,3.141792416457114
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v1_28+,407,48,1.529547627401958,0.8156156469967127,2.868404932035822
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v2,51,4,0.7694192365164847,0.1918521795298286,3.085740088918651
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v1_0:6,43,4,0.8394885716306238,0.22900598970320254,3.077391394049505
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v1_7:13,51,7,1.8020637169981066,0.5901316160891134,5.502897237809829
